university,faculty,round,program,แกนกลาง,นานาชาติ,อาชีวะ,กศน,GED,special-requirements,percent-tgat,percent-tpat3,percent-alevel-math1,percent-alevel-math2,percent-alevel-eng,percent-alevel-phy,percent-alevel-chem,percent-alevel-bio,percent-alevel-thai,percent-alevel-soc,min-gpax,percent-gpax,number-of-students,reference
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Porfolio ,โครงการ_Women_in_Engineering,y,n,n,y,n,,-,,,,,,,,,,3.25,-,10,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Portfolio ,การรับนักกีฬาที่มีความสามารถดีเด่นระดับนานาชาติ/ระดับชาติ_และนักกีฬาตามยุทธศาสตร์,y,n,n,n,n,,-,,,,,,,,,,2.5,-,2,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Porfolio ,โครงการความร่วมมือสร้างสังคมแห่งการเรียนรู้นวัตกรรมด้านพลังงานและสิ่งแวดล้อม,y,n,n,y,n,,-,,,,,,,,,,2.75,-,3,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Portfolio ,โครงการรับนักเรียนผู้มีความรู้_ความสามารถทางวิศวกรรม,y,n,n,n,n,,-,,,,,,,,,,-,-,10,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Portfolio,โครงการรับนักเรียนที่มีอัจฉริยภาพทางคอมพิวเตอร์,y,n,n,y,n,,-,,,,,,,,,,2.75,-,30,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Portfolio ,โครงการรับนักเรียนผู้มีผลการเรียนดีเด่น,y,n,n,n,n,,-,,,,,,,,,,3.5,-,15,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Quota ,การรับนักเรียนโควตาภาคเหนือฯ,y,n,n,n,n,,-,,,,,,,,,,-,-,30,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Quota ,โครงการเปิดโอกาสให้กับนักเรียนผู้มีความสามารถด้านกีฬา,y,n,n,n,n,,-,,,,,,,,,,2.5,-,2,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Quota ,การรับนักเรียนพิการ,y,n,n,y,n,,-,,,,,,,,,,2.5,-,2,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
มหาวิทยาลัยเชียงใหม่,วิศวะคอมพิวเตอร์,Admission,,y,n,n,n,n,"จน.หน่วยกิตต่ำสุดกลุ่มสาระฯ วิทยาศาสตร์และเทคโนโลยี
22
ใช้คะแนนในรูปแบบ T-Score
คะแนน T-Score ขั้นต่ำวิชา ความถนัดวิทยาศาสตร์ เทคโนโลยี วิศวกรรมศาสตร์ (TPAT3)
45",20,40,20,,,20,,,,,-,-,10,https://www1.reg.cmu.ac.th/ugradapply/findfaculty.php?ro=&grouptype=
